ID,Health,Type
1,80,Dove
2,20,Dove
3,80,Dove
4,60,Dove
5,40,Dove
6,80,Dove
7,60,Dove
8,80,Dove
9,60,Dove
10,20,Dove
11,100,Dove
12,40,Dove
13,80,Dove
14,100,Dove
15,100,Dove
16,40,Dove
17,80,Dove
18,60,Dove
19,100,Dove
20,80,Dove
21,20,Dove
22,100,Dove
23,20,Dove
24,80,Dove
25,60,Dove
26,20,Dove
27,20,Dove
28,40,Dove
29,20,Dove
30,60,Dove
31,60,Dove
32,60,Dove
33,20,Dove
34,60,Dove
35,100,Dove
36,40,Dove
37,100,Dove
38,40,Dove
39,100,Dove
40,20,Dove
41,20,Dove
42,100,Dove
43,100,Dove
44,20,Dove
45,20,Dove
46,40,Dove
47,40,Dove
48,60,Dove
49,100,Dove
50,60,Dove
51,20,Dove
52,40,Dove
53,80,Dove
54,100,Dove
55,20,Dove
56,60,Dove
57,20,Dove
58,60,Dove
59,40,Dove
60,40,Dove
61,100,Dove
62,20,Dove
63,40,Dove
64,100,Dove
65,80,Dove
66,80,Dove
67,60,Dove
68,100,Dove
69,80,Dove
70,40,Dove
71,40,Dove
72,80,Dove
73,40,Dove
74,60,Dove
75,20,Dove
76,20,Dove
77,20,Dove
78,100,Dove
79,60,Dove
80,20,Dove
81,80,Dove
82,40,Dove
83,40,Dove
84,40,Dove
85,40,Dove
86,20,Dove
87,60,Dove
88,60,Dove
89,60,Dove
90,20,Dove
91,40,Dove
92,100,Dove
93,80,Dove
94,100,Dove
95,100,Dove
96,20,Dove
97,60,Dove
98,40,Dove
99,40,Dove
100,20,Dove
101,20,Dove
102,60,Dove
103,40,Dove
104,80,Dove
105,80,Dove
106,40,Dove
107,40,Dove
108,60,Dove
109,100,Dove
110,20,Dove
111,80,Dove
112,100,Dove
113,40,Dove
114,40,Dove
115,100,Dove
116,80,Dove
117,20,Dove
118,60,Dove
119,80,Dove
120,40,Dove
121,80,Dove
122,60,Dove
123,80,Dove
124,100,Dove
125,20,Dove
126,20,Dove
127,100,Dove
128,20,Dove
129,60,Dove
130,40,Dove
131,80,Dove
132,80,Dove
133,20,Dove
134,100,Dove
135,40,Dove
136,80,Hawk
137,40,Hawk
138,40,Hawk
139,60,Hawk
140,100,Hawk
141,100,Hawk
142,100,Hawk
143,80,Hawk
144,40,Hawk
145,100,Hawk
146,60,Hawk
147,60,Hawk
148,100,Hawk
149,40,Hawk
150,60,Hawk
151,80,Hawk
152,100,Hawk
153,20,Hawk
154,20,Hawk
155,20,Hawk
156,20,Hawk
157,80,Hawk
158,40,Hawk
159,80,Hawk
160,60,Hawk
161,40,Hawk
162,80,Hawk
163,100,Hawk
164,60,Hawk
165,60,Hawk
166,80,Hawk
167,100,Hawk
168,80,Hawk
169,40,Hawk
170,100,Hawk
171,60,Hawk
172,20,Hawk
173,20,Hawk
174,60,Hawk
175,20,Hawk
176,80,Hawk
177,40,Hawk
178,40,Hawk
179,40,Hawk
180,20,Hawk
181,80,Hawk
182,80,Hawk
183,100,Hawk
184,80,Hawk
185,40,Hawk
186,80,Hawk
187,60,Hawk
188,20,Hawk
189,60,Hawk
190,80,Hawk
191,40,Hawk
192,20,Hawk
193,20,Hawk
194,60,Hawk
195,80,Hawk
196,40,Hawk
197,100,Hawk
198,20,Hawk
199,100,Hawk
200,60,Hawk
201,80,Hawk
202,40,Hawk
203,60,Hawk
204,100,Hawk
205,100,Hawk
206,80,Hawk
207,20,Hawk
208,80,Hawk
209,100,Hawk
210,60,Hawk
211,60,Hawk
212,20,Hawk
213,20,Hawk
214,100,Hawk
215,20,Hawk
216,60,Hawk
217,100,Hawk
218,20,Hawk
219,100,Hawk
220,60,Hawk
221,80,Hawk
222,100,Hawk
223,80,Hawk
224,60,Hawk
225,100,Hawk
226,40,Hawk
227,60,Hawk
228,60,Hawk
229,40,Hawk
230,60,Hawk
231,40,Hawk
232,100,Hawk
233,100,Hawk
234,100,Hawk
235,60,Hawk
236,40,Hawk
237,60,Hawk
238,100,Hawk
239,40,Hawk
240,20,Hawk
241,40,Hawk
242,80,Hawk
243,100,Hawk
244,20,Hawk
245,100,Hawk
246,20,Hawk
247,60,Hawk
248,100,Hawk
249,40,Hawk
250,60,Hawk
251,60,Hawk
252,100,Hawk
253,60,Hawk
254,40,Hawk
255,20,Hawk
256,80,Hawk
257,40,Hawk
258,20,Hawk
259,40,Hawk
260,100,Hawk
261,40,Hawk
262,20,Hawk
263,60,Hawk
264,100,Hawk
265,40,Hawk
266,80,Hawk
267,60,Hawk
268,60,Hawk
269,80,Hawk
270,60,Hawk
